"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"13","","32","","17","2","","0"
"0","","2","3. Teacher Management","0","0","api/teacher/students","0"
"0","","2","6. Institution","0","0","api/institution/dashboard","0"
"0","","1","6. Institution","0","0","api/institution/students/analytics","0"
"0","","2","4. Quiz Management","0","0","api/teacher-quiz/save","0"
"0","","1","5. Teacher Evaluation","0","0","api/teacher/evaluations/options","0"
"0","","1","2. Papers","1","0","api/papers/random","0"
"0","","1","4. Quiz Management","0","0","api/teacher-quiz/my-quizzes","0"
"0","","1","4. Quiz Management","0","0","api/student-quiz/results","0"
"0","","1","3. Teacher Management","0","0","api/teacher/dashboard/stats","0"
"0","","1","3. Teacher Management","0","0","api/teacher/students/invite","0"
"0","","1","3. Teacher Management","0","0","api/teacher/students/invites","0"
"0","","0","1. Auth","1","0","auth/forgot-password","0"
"0","","0","7. Misc ","1","0","health","0"
"0","","1","3. Teacher Management","0","0","api/teacher/statistics","0"
"0","","1","6. Institution","0","0","api/institution/teachers","0"
"0","","0","1. Auth","3","0","auth/login","0"
"0","","0","7. Misc ","1","0","api/onboarding/levels-subjects","0"
"0","","0","7. Misc ","1","0","api/sq-evaluation/health","0"
"0","","1","2. Papers","0","0","papers/available","0"
"0","","0","1. Auth","2","0","auth/register/student","0"
"0","","1","6. Institution","0","0","api/institution/profile","0"
"0","","0","1. Auth","1","0","auth/reset-password","0"
"0","","1","2. Papers","0","0","api/papers/submissions/{{student_email}}","0"
"0","","1","6. Institution","0","0","api/institution/reports/history","0"
"0","","1","4. Quiz Management","0","0","api/student-quiz/available","0"
"0","","1","4. Quiz Management","0","0","api/teacher-quiz/subjects/O-Level","0"
"0","","2","6. Institution","0","0","api/institution/reports/options","0"
"0","","1","5. Teacher Evaluation","0","0","api/teacher/evaluations/history/{{enrolled_email}}","0"
"0","","1","7. Misc ","0","0","api/topical/subjects","0"
"0","","0","1. Auth","1","0","auth/verify-email","0"
"0","","1","5. Teacher Evaluation","0","0","api/teacher/evaluations/submit","0"
"0","","0","7. Misc ","1","0","api/flashcards/subjects","0"
"0","","1","2. Papers","0","0","api/papers/submit","0"
